| i: 3800 | Train Accuracy: 0.41280001401901245 | Train Loss: 1.5742343664169312 | Test Accuracy: 0.23280000686645508 | Test Loss: 2.2923314571380615 |
| i: 3900 | Train Accuracy: 0.412200003862381 | Train Loss: 1.5716882944107056 | Test Accuracy: 0.23659999668598175 | Test Loss: 2.2972686290740967 |
| i: 4000 | Train Accuracy: 0.41600000858306885 | Train Loss: 1.5665205717086792 | Test Accuracy: 0.23659999668598175 | Test Loss: 2.304217576980591 |
| i: 4100 | Train Accuracy: 0.4108000099658966 | Train Loss: 1.5678092241287231 | Test Accuracy: 0.2329999953508377 | Test Loss: 2.3139562606811523 |
| i: 4200 | Train Accuracy: 0.41620001196861267 | Train Loss: 1.5637582540512085 | Test Accuracy: 0.2305999994277954 | Test Loss: 2.3226993083953857 |
| i: 4300 | Train Accuracy: 0.4106000065803528 | Train Loss: 1.5640634298324585 | Test Accuracy: 0.2362000048160553 | Test Loss: 2.3255486488342285 |
| i: 4400 | Train Accuracy: 0.40959998965263367 | Train Loss: 1.5624321699142456 | Test Accuracy: 0.23819999396800995 | Test Loss: 2.3278372287750244 |
| i: 4500 | Train Accuracy: 0.4171999990940094 | Train Loss: 1.554426670074463 | Test Accuracy: 0.23499999940395355 | Test Loss: 2.3205325603485107 |
| i: 4600 | Train Accuracy: 0.41679999232292175 | Train Loss: 1.5497639179229736 | Test Accuracy: 0.23720000684261322 | Test Loss: 2.330479145050049 |
| i: 4700 | Train Accuracy: 0.4196000099182129 | Train Loss: 1.5460001230239868 | Test Accuracy: 0.2409999966621399 | Test Loss: 2.3300235271453857 |
| i: 4800 | Train Accuracy: 0.42480000853538513 | Train Loss: 1.5424195528030396 | Test Accuracy: 0.23680000007152557 | Test Loss: 2.3327627182006836 |
| i: 4900 | Train Accuracy: 0.42160001397132874 | Train Loss: 1.54031240940094 | Test Accuracy: 0.2345999926328659 | Test Loss: 2.341216564178467 |
| i: 5000 | Train Accuracy: 0.41100001335144043 | Train Loss: 1.549048900604248 | Test Accuracy: 0.22859999537467957 | Test Loss: 2.3533551692962646 |
| i: 5100 | Train Accuracy: 0.4198000133037567 | Train Loss: 1.5434324741363525 | Test Accuracy: 0.23720000684261322 | Test Loss: 2.3552534580230713 |
| i: 5200 | Train Accuracy: 0.4196000099182129 | Train Loss: 1.535715103149414 | Test Accuracy: 0.2378000020980835 | Test Loss: 2.346233606338501 |
| i: 5300 | Train Accuracy: 0.4203999936580658 | Train Loss: 1.5331536531448364 | Test Accuracy: 0.23600000143051147 | Test Loss: 2.351120948791504 |
| i: 5400 | Train Accuracy: 0.42719998955726624 | Train Loss: 1.5318067073822021 | Test Accuracy: 0.23839999735355377 | Test Loss: 2.3606793880462646 |
| i: 5500 | Train Accuracy: 0.4302000105381012 | Train Loss: 1.530564308166504 | Test Accuracy: 0.23839999735355377 | Test Loss: 2.3598461151123047 |
| i: 5600 | Train Accuracy: 0.42080000042915344 | Train Loss: 1.5350701808929443 | Test Accuracy: 0.2345999926328659 | Test Loss: 2.3771471977233887 |
| i: 5700 | Train Accuracy: 0.42660000920295715 | Train Loss: 1.5283448696136475 | Test Accuracy: 0.23759999871253967 | Test Loss: 2.367448329925537 |
| i: 5800 | Train Accuracy: 0.426800012588501 | Train Loss: 1.5258152484893799 | Test Accuracy: 0.23499999940395355 | Test Loss: 2.376573324203491 |
